term	crse	class section	descr	min credit	max credit	start dt	end dt	days	start time	end time	newlibintensives	newlib	consent	instruction mode	cap	enrolled	combined section	note	class stat	enrolling	prereqs
Spring, 2025-26	BIOL-2420L-LA	LA	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	09:00AM	10:50AM			No Consent Required	In Person	30	26			active	Open	
Spring, 2025-26	BIOL-2420L-LA	LA	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	09:00AM	10:50AM			No Consent Required	In Person	30	26		laboratory	active	Open	
Spring, 2025-26	BIOL-2420L-LB	LB	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	R	09:00AM	10:50AM			No Consent Required	In Person	30	17			active	Open	
Spring, 2025-26	BIOL-2420L-LB	LB	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	R	09:00AM	10:50AM			No Consent Required	In Person	30	17		laboratory	active	Open	
Spring, 2025-26	BIOL-4070-01	01	Ecology and Evolutionary Biology (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM			No Consent Required	In Person	25	7			active	Open	
Spring, 2025-26	BIOL-4070-01	01	Ecology and Evolutionary Biology (24)	4.0	4.0	01/14/2026	05/08/2026	T	01:00PM	02:50PM			No Consent Required	In Person	25	7			active	Open	
Spring, 2025-26	BIOL-4070-01	01	Ecology and Evolutionary Biology (24)	4.0	4.0	01/14/2026	05/08/2026	T	01:00PM	02:50PM			No Consent Required	In Person	25	7		laboratory	active	Open	
Spring, 2025-26	BIOL-4220-01	01	Biochemistry II (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	09:00AM	09:50AM			No Consent Required	In Person	15	5	C	Same: BIOL/CHEM4220	active	Open	
Spring, 2025-26	BIOL-4220L-LA	LA	Biochemistry II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	09:00AM	10:50AM			No Consent Required	In Person	15	5			active	Open	
Spring, 2025-26	BIOL-4910-01	01	Science Seminar I (24)	1.0	1.0	01/14/2026	05/08/2026	R	12:00PM	12:50PM			No Consent Required	In Person	35	5	C	Same: BIOL/CHEM/PHYS4910	active	Open	
Spring, 2025-26	BIOL-4920-01	01	Science Seminar II (24)	1.0	1.0	01/14/2026	05/08/2026	R	12:00PM	12:50PM	Speaking/Writing UpDiv Intens		No Consent Required	In Person	35	6	C	Same: BIOL/CHEM/PHYS4920	active	Open	
Spring, 2025-26	BSNS-2310-0E	0E	Business Analytics (23)	3.0	3.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	38	36			active	Open	
Spring, 2025-26	BSNS-2450-01	01	Data Analysis and Decision Making for Business (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	02:00PM	02:50PM			No Consent Required	In Person	35	23			active	Open	
Spring, 2025-26	BSNS-2510-01	01	Principles of Finance (23)	3.0	3.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	35	27			active	Open	
Spring, 2025-26	BSNS-2550-01	01	Business Communications (25)	3.0	3.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM			No Consent Required	In Person	30	29			active	Open	
Spring, 2025-26	BSNS-2710-01	01	Principles of Management (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	08:00AM	08:50AM			No Consent Required	In Person	30	28			active	Open	
Spring, 2025-26	BSNS-2810-01	01	Principles of Marketing (23)	3.0	3.0	01/14/2026	05/08/2026	TR	08:00AM	09:15AM			No Consent Required	In Person	35	26			active	Open	
Spring, 2025-26	BSNS-3120-01	01	Global Business (23)	3.0	3.0	01/14/2026	05/08/2026	TR	09:30AM	10:45AM	Writing Intensive Upper Div	WKNW 7 Glob/Intcult Ways GI	No Consent Required	In Person	35	24			active	Open	
Spring, 2025-26	BSNS-3240-01	01	Operations Management (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	10:00AM	10:50AM			No Consent Required	In Person	35	9			active	Open	
Spring, 2025-26	BSNS-3350-0E	0E	Corporate Finance (23)	3.0	3.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	35	11			active	Open	
Spring, 2025-26	BSNS-3420-01	01	Business Law (23)	3.0	3.0	01/14/2026	05/08/2026	TR	08:00AM	09:15AM		FSKL 2 Civ Discrse Crit Reas	No Consent Required	In Person	35	21			active	Open	
Spring, 2025-26	BSNS-4010-01	01	Organizational Behavior and Theory (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	08:00AM	08:50AM			No Consent Required	In Person	30	7	C	Same: BSNS4010/PSYC3220	active	Open	
Spring, 2025-26	BSNS-4330-01	01	Marketing Management (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	09:00AM	09:50AM			No Consent Required	In Person	30	13			active	Open	
Spring, 2025-26	BSNS-4360-01	01	Sport Sponsorship and Sales (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM			No Consent Required	In Person	35	12			active	Open	
Spring, 2025-26	BSNS-4400-01	01	Social Media (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	10:00AM	10:50AM			No Consent Required	In Person	35	12			active	Open	
Spring, 2025-26	BSNS-4500-01	01	Strategic Management (23)	3.0	3.0	01/14/2026	05/08/2026	TR	01:00PM	02:15PM			No Consent Required	In Person	35	24			active	Open	
Spring, 2025-26	BSNS-4560-01	01	Bsns of Game-Day Exper (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	01:00PM	01:50PM			No Consent Required	In Person	35	8			active	Open	
Spring, 2025-26	BSNS-4800-01	01	Business Internship (23)	1.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	35	6			active	Open	
Spring, 2025-26	BSNS-4800-02	02	Business Internship (23)	1.0	4.0	01/14/2026	05/08/2026						Not Enrolling	Asynchronous Online	35	1			active	Closed	
Spring, 2025-26	BSNS-4800-03	03	Business Internship (23)	1.0	4.0	01/14/2026	05/08/2026						Not Enrolling	Asynchronous Online	5	1			active	Closed	
Spring, 2025-26	BSNS-4910-01	01	Senior Seminar in Business (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	02:00PM	02:50PM	Writing Intensive Upper Div		No Consent Required	In Person	35	26			active	Open	
Spring, 2025-26	CHEM-1000-01	01	Introduction to Chemistry (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM		WKNW 2 Scientific Ways Knowg	No Consent Required	In Person	48	40			active	Open	
Spring, 2025-26	CHEM-1000L-LA	LA	Introduction to Chemistry (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	03:00PM	04:50PM			No Consent Required	In Person	24	16			active	Open	
Spring, 2025-26	CHEM-1000L-LB	LB	Introduction to Chemistry (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	01:00PM	02:50PM			No Consent Required	In Person	25	23			active	Open	
Spring, 2025-26	CHEM-2120-01	01	General Chemistry II (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	09:00AM	09:50AM			No Consent Required	In Person	50	26			active	Open	
Spring, 2025-26	CHEM-2120L-LA	LA	General Chemistry II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	R	09:00AM	10:50AM			No Consent Required	In Person	30	20			active	Open	
Spring, 2025-26	CHEM-2120L-LB	LB	General Chemistry II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	R	01:00PM	02:50PM			No Consent Required	In Person	30	7			active	Open	
Spring, 2025-26	CHEM-2220-01	01	Organic Chemistry II (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	01:00PM	01:50PM			No Consent Required	In Person	16	9			active	Open	
Spring, 2025-26	CHEM-2220L-LA	LA	Organic Chemistry II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	R	01:00PM	03:50PM			No Consent Required	In Person	16	9			active	Open	
Spring, 2025-26	CHEM-3140-01	01	Instrumental Analysis (23)	4.0	4.0	01/14/2026	05/08/2026	MWF	02:00PM	02:50PM			Consent Required	Synchronous Online	25	7			active	Open	
Spring, 2025-26	CHEM-4110-01	01	Thermodynamics and Kinetics (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	08:00AM	08:50AM			Consent Required	In Person	24	5			active	Open	
Spring, 2025-26	CHEM-4110L-LA	LA	Thermodynamics and Kinetics Lab (24)	0.0	0.0	01/14/2026	05/08/2026	T	01:00PM	02:50PM			Consent Required	In Person	24	5		laboratory	active	Open	
Spring, 2025-26	CHEM-4220-01	01	Biochemistry II (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	09:00AM	09:50AM			No Consent Required	In Person	15	2	C	Same: BIOL/CHEM4220	active	Open	
Spring, 2025-26	CHEM-4220L-LA	LA	Biochemistry II (24)	0.0	0.0	01/14/2026	05/08/2026	T	09:00AM	10:50AM			No Consent Required	In Person	15	2			active	Open	
Spring, 2025-26	CHEM-4520-01	01	Senior Physical Science Practicum II (24)	1.0	1.0	01/14/2026	05/08/2026	T	12:00PM	12:50PM			No Consent Required	In Person	20	6	C	Same: CHEM/PHYS4520	active	Open	
Spring, 2025-26	CHEM-4650-01	01	Independent Study (24)	1.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	10	0			active	Open	
Spring, 2025-26	CHEM-4920-01	01	Science Seminar II (24)	1.0	1.0	01/14/2026	05/08/2026	R	12:00PM	12:50PM	Speaking/Writing UpDiv Intens		No Consent Required	In Person	35	3	C	Same: BIOL/CHEM/PHYS4920	active	Open	
Spring, 2025-26	CMIN-2000-8ES	8ES	Introduction to Christian Ministry (23)	3.0	3.0	01/14/2026	03/06/2026						Consent Required	Asynchronous Online	20	16			active	Open	
Spring, 2025-26	CMIN-2270-01	01	Faith and Worship (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	10:00AM	10:50AM		FSKL 2 Civ Discrse Crit Reas	No Consent Required	In Person	25	20			active	Open	
Spring, 2025-26	CMIN-2810-01	01	Ministry Exploration (23)	1.0	1.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	25	3			active	Open	
